Date,Category,Description,Amount
2026-05-09,Utilities,wifi broadband internet bill,371.62
2026-05-09,Utilities,piped gas bill,985.28
2026-05-09,Shopping,college textbooks purchase,2236.33
2026-05-10,Utilities,electricity utility bill,1186.2
2026-05-11,Shopping,backpack travel bag,827.56
2026-05-12,Utilities,mobile network recharge,1161.95
2026-05-12,Shopping,backpack travel bag,3044.39
2026-05-12,Utilities,electricity utility bill,1549.64
2026-05-14,Entertainment,spotify premium music,1364.59
2026-05-14,Travel,ola cab ride to college,859.06
2026-05-14,Food,grocery bill supermarket,58.67
2026-05-16,Others,gift card purchase,286.01
2026-05-16,Others,xerox copy printing,117.69
2026-05-16,Food,starbucks coffee,258.06
2026-05-16,Food,zomato dinner,169.87
2026-05-16,Shopping,electronics phone adapter charger,895.0
2026-05-16,Shopping,backpack travel bag,3724.58
2026-05-17,Travel,metro card recharge,656.2
2026-05-17,Entertainment,bowling alley game,364.9
2026-05-17,Entertainment,movie ticket cinema,1107.25
2026-05-17,Entertainment,gaming arcade entry fee,248.18
2026-05-18,Others,haircut salon charges,109.59
2026-05-19,Travel,metro card recharge,589.24
2026-05-19,Shopping,watch buying mall,1711.09
2026-05-19,Food,swiggy food order,384.8
2026-05-20,Shopping,watch buying mall,759.59
2026-05-20,Others,medical store medicines,156.51
2026-05-20,Entertainment,spotify premium music,1317.59
2026-05-20,Entertainment,concert show ticket,434.59
2026-05-21,Travel,parking charges ticket,124.83
2026-05-22,Entertainment,concert show ticket,896.02
2026-05-23,Food,cafe tea and snacks,462.96
2026-05-23,Entertainment,movie ticket cinema,720.19
2026-05-24,Travel,bus fare ticket,919.95
2026-05-26,Utilities,electricity utility bill,2485.59
2026-05-26,Others,haircut salon charges,352.09
2026-05-27,Travel,metro card recharge,262.69
2026-05-27,Utilities,electricity utility bill,698.83
2026-05-27,Others,xerox copy printing,149.11
2026-05-27,Others,medical store medicines,277.33
2026-05-28,Food,cafe tea and snacks,309.42
2026-05-28,Travel,uber ride home,520.0
2026-05-28,Entertainment,movie ticket cinema,1255.63
2026-05-29,Shopping,backpack travel bag,3106.33
2026-05-29,Utilities,water utility bill,317.94
2026-05-29,Shopping,electronics phone adapter charger,2421.64
2026-05-29,Travel,metro card recharge,297.72
2026-05-29,Others,haircut salon charges,243.97
2026-05-29,Others,haircut salon charges,78.06
2026-06-01,Utilities,piped gas bill,2442.62
2026-06-01,Shopping,watch buying mall,756.77
2026-06-01,Food,swiggy food order,343.79
2026-06-01,Entertainment,bowling alley game,578.29
2026-06-01,Food,grocery bill supermarket,230.53
2026-06-02,Entertainment,netflix monthly subscription,680.14
2026-06-03,Shopping,watch buying mall,3904.99
2026-06-05,Entertainment,spotify premium music,321.54
2026-06-05,Entertainment,netflix monthly subscription,567.14
2026-06-05,Others,haircut salon charges,127.62
2026-06-06,Others,haircut salon charges,186.88
