Date,Category,Description,Amount
2026-05-08,Utilities,piped gas bill,1277.8
2026-05-10,Travel,bus fare ticket,352.86
2026-05-11,Travel,train ticket booking,750.67
2026-05-12,Shopping,electronics phone adapter charger,598.51
2026-05-12,Entertainment,gaming arcade entry fee,567.16
2026-05-12,Travel,ola cab ride to college,318.75
2026-05-12,Food,bakery bread and cake,258.48
2026-05-13,Travel,metro card recharge,165.32
2026-05-13,Entertainment,bowling alley game,647.07
2026-05-13,Entertainment,spotify premium music,309.5
2026-05-13,Shopping,amazon t-shirt clothes,950.39
2026-05-14,Food,mcdonalds burger,114.74
2026-05-14,Travel,parking charges ticket,991.95
2026-05-14,Others,charity donation,293.0
2026-05-14,Entertainment,gaming arcade entry fee,977.07
2026-05-15,Utilities,wifi broadband internet bill,1977.56
2026-05-15,Travel,ola cab ride to college,635.45
2026-05-15,Utilities,piped gas bill,1822.89
2026-05-16,Travel,bus fare ticket,1140.94
2026-05-16,Food,subway sandwich lunch,356.36
2026-05-18,Shopping,college textbooks purchase,1910.38
2026-05-19,Food,pizza delivery dinner,397.09
2026-05-20,Shopping,college textbooks purchase,1825.89
2026-05-20,Food,starbucks coffee,76.54
2026-05-20,Utilities,piped gas bill,2475.76
2026-05-20,Others,charity donation,451.6
2026-05-21,Entertainment,netflix monthly subscription,778.13
2026-05-21,Shopping,backpack travel bag,1732.6
2026-05-21,Entertainment,movie ticket cinema,541.1
2026-05-22,Food,mcdonalds burger,381.11
2026-05-22,Shopping,watch buying mall,977.24
2026-05-22,Food,zomato dinner,386.57
2026-05-22,Travel,bus fare ticket,985.97
2026-05-22,Entertainment,bowling alley game,422.55
2026-05-22,Utilities,wifi broadband internet bill,1813.46
2026-05-24,Travel,uber ride home,981.59
2026-05-24,Shopping,watch buying mall,3920.24
2026-05-25,Travel,ola cab ride to college,469.65
2026-05-26,Shopping,watch buying mall,2502.89
2026-05-26,Shopping,watch buying mall,3197.31
2026-05-26,Shopping,backpack travel bag,2531.76
2026-05-26,Shopping,nike sneakers shoes,2338.01
2026-05-27,Others,gift card purchase,96.56
2026-05-28,Travel,uber ride home,729.12
2026-05-29,Shopping,amazon t-shirt clothes,651.34
2026-05-29,Entertainment,netflix monthly subscription,172.19
2026-05-29,Utilities,wifi broadband internet bill,2301.85
2026-05-31,Utilities,electricity utility bill,1195.0
2026-05-31,Shopping,amazon t-shirt clothes,565.22
2026-05-31,Entertainment,movie ticket cinema,610.78
2026-06-01,Utilities,wifi broadband internet bill,577.47
2026-06-01,Utilities,mobile network recharge,303.92
2026-06-01,Food,zomato dinner,443.05
2026-06-01,Travel,bus fare ticket,211.56
2026-06-01,Entertainment,gaming arcade entry fee,507.96
2026-06-01,Entertainment,gaming arcade entry fee,619.23
2026-06-03,Food,starbucks coffee,321.73
2026-06-04,Food,pizza delivery dinner,80.99
2026-06-04,Food,bakery bread and cake,343.42
2026-06-05,Food,bakery bread and cake,532.12
